mlb_id,player_name,role,team,age,war,war_off,war_def,pa,games,ops_plus,runs_bat,runs_field,games_started,ip,era_plus
624641,Edmundo Sosa,hitter,PHI,30.0,0.88,0.59,0.35,242.0,81,85.074,-3.32,3.0,,,
628451,Andy Ibáñez,hitter,NYM,33.0,-0.56,-0.37,-0.21,26.0,14,-44.006,-4.08,-2.0,,,
630105,Jake Cronenworth,hitter,SDP,32.0,0.01,0.87,-0.6,403.0,103,80.03,-8.16,-7.0,,,
640459,Brian Navarreto,hitter,MIA,31.0,-0.01,-0.32,0.43,55.0,30,20.603,-5.57,0.0,,,
640492,José Azócar,hitter,ATL,30.0,0.25,0.15,0.08,18.0,11,135.905,0.64,1.0,,,
640902,Jhonny Pereda,hitter,SEA,30.0,0.58,0.57,0.2,93.0,29,114.345,1.66,0.0,,,
641343,Jake Bauers,hitter,MIL,30.0,3.16,4.12,-1.78,552.0,138,145.77,30.33,-5.0,,,
641355,Cody Bellinger,hitter,NYY,30.0,4.7,2.66,1.61,546.0,128,116.262,10.91,14.0,,,
641487,J.P. Crawford,hitter,SEA,31.0,1.07,2.08,-0.42,467.0,111,101.239,2.14,-8.0,,,
641555,J.C. Escarra,hitter,NYY,31.0,0.06,-0.05,0.3,92.0,32,42.407,-5.51,0.0,,,
641584,Jake Fraley,hitter,TBR,31.0,-0.14,-0.05,-0.19,97.0,31,81.922,-2.4,1.0,,,
641598,Mitch Garver,hitter,SEA,35.0,0.36,0.57,0.0,149.0,50,74.481,-0.87,0.0,,,
641680,Jonah Heim,hitter,OAK,31.0,-1.05,0.06,-0.79,373.0,100,72.349,-11.68,-1.0,,,
641820,Trey Mancini,hitter,LAA,34.0,0.02,0.02,-0.03,14.0,5,110.971,-0.05,0.0,,,
641857,Ryan McMahon,hitter,NYY,31.0,0.08,0.06,0.3,350.0,120,71.679,-11.56,2.0,,,
641933,Tyler O'Neill,hitter,BAL,31.0,0.47,0.26,-0.1,260.0,85,91.991,-2.12,-3.0,,,
642020,Chuckie Robinson,hitter,LAD,31.0,-0.41,-0.41,0.04,26.0,8,-51.732,-5.3,0.0,,,
642086,Dominic Smith,hitter,ATL,31.0,-0.14,-0.02,-0.83,293.0,105,88.873,-3.25,-1.0,,,
642133,Rowdy Tellez,hitter,ATL,31.0,0.02,0.02,-0.01,11.0,7,107.122,0.04,0.0,,,
642201,Eli White,hitter,BOS,32.0,1.45,0.51,0.67,204.0,96,88.736,-0.76,6.0,,,
642215,Weston Wilson,hitter,SEA,31.0,-0.42,0.19,-0.58,173.0,68,78.794,-4.05,-7.0,,,
642350,Jose Siri,hitter,LAA,30.0,0.76,0.75,-0.12,235.0,102,97.788,-0.8,0.0,,,
642708,Amed Rosario,hitter,NYY,30.0,-0.26,0.56,-0.76,236.0,85,87.675,-2.93,-7.0,,,
